Text,Sentiment,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Tokenized_Text,No_Stopwords,Lemmatized_Text,Cleaned_Text
 Frustration mounts as obstacles block my path.     ,Negative, BlockedGoals      , Facebook , #Frustration #Obstacles                       ,10.0,20.0, USA          ,2017,1,30,16,"['frustration', 'mounts', 'as', 'obstacles', 'block', 'my', 'path', '.']","['frustration', 'mounts', 'obstacles', 'block', 'path', '.']","['frustration', 'mount', 'obstacle', 'block', 'path', '.']","['frustration', 'mount', 'obstacle', 'block', 'path']"
" Boredom sets in, the day feels endlessly dull.     ",Negative, BoredMind         , Twitter  , #Boredom #LackOfInterest                     ,8.0,15.0, Canada        ,2016,9,28,19,"['boredom', 'sets', 'in', ',', 'the', 'day', 'feels', 'endlessly', 'dull', '.']","['boredom', 'sets', ',', 'day', 'feels', 'endlessly', 'dull', '.']","['boredom', 'set', ',', 'day', 'feel', 'endlessly', 'dull', '.']","['boredom', 'set', 'day', 'feel', 'endless', 'dull']"
" Anxiety grips my heart, worry clouds my thoughts.  ",Negative, WorriedMind       , Instagram , #Anxiety #Worry                               ,12.0,25.0, UK           ,2019,4,15,9,"['anxiety', 'grips', 'my', 'heart', ',', 'worry', 'clouds', 'my', 'thoughts', '.']","['anxiety', 'grips', 'heart', ',', 'worry', 'clouds', 'thoughts', '.']","['anxiety', 'grip', 'heart', ',', 'worry', 'cloud', 'thought', '.']","['anxiety', 'grip', 'heart', 'worry', 'cloud', 'thought']"
 Intimidation by the unknown future ahead.          ,Negative, FearfulSoul       , Facebook , #Intimidation #Fear                           ,15.0,30.0, India        ,2021,12,3,18,"['intimidation', 'by', 'the', 'unknown', 'future', 'ahead', '.']","['intimidation', 'unknown', 'future', 'ahead', '.']","['intimidation', 'unknown', 'future', 'ahead', '.']","['intimidation', 'unknown', 'future', 'ahead']"
 Helplessness sinks in as challenges pile up.       ,Negative, OverwhelmedHeart  , Twitter  , #Helplessness #Overwhelmed                    ,8.0,15.0, Australia    ,2020,6,20,14,"['helplessness', 'sinks', 'in', 'as', 'challenges', 'pile', 'up', '.']","['helplessness', 'sinks', 'challenges', 'pile', '.']","['helplessness', 'sink', 'challenge', 'pile', '.']","['helplessness', 'sink', 'challenge', 'pile']"
 Envy eats away at me as I see others' prosperity.  ,Negative, CovetousMind     , Instagram , #Envy #Desire                                ,10.0,20.0, Canada        ,2018,11,7,11,"['envy', 'eats', 'away', 'at', 'me', 'as', 'i', 'see', 'others', ""'"", 'prosperity', '.']","['envy', 'eats', 'away', 'see', 'others', ""'"", 'prosperity', '.']","['envy', 'eats', 'away', 'see', 'others', ""'"", 'prosperity', '.']","['envy', 'eats', 'away', 'see', 'others', 'prosperity']"
 Regret over missed opportunities haunts my thoughts.,Negative, RemorsefulSoul   , Facebook , #Regret #MissedChances                       ,12.0,25.0, UK           ,2017,8,25,16,"['regret', 'over', 'missed', 'opportunities', 'haunts', 'my', 'thoughts', '.']","['regret', 'missed', 'opportunities', 'haunts', 'thoughts', '.']","['regret', 'miss', 'opportunity', 'haunt', 'thought', '.']","['regret', 'miss', 'opportunity', 'haunt', 'thought']"
 Disgust at the sight of injustice and cruelty.     ,Negative, DisgustedHeart   , Twitter  , #Disgust #Injustice                          ,7.0,15.0, India        ,2019,2,11,9,"['disgust', 'at', 'the', 'sight', 'of', 'injustice', 'and', 'cruelty', '.']","['disgust', 'sight', 'injustice', 'cruelty', '.']","['disgust', 'sight', 'injustice', 'cruelty', '.']","['disgust', 'sight', 'injustice', 'cruelty']"
" Drowning in despair, hope slipping through my fingers.",Negative, HopelessHeart    , Instagram , #Despair #Hopeless                           ,10.0,20.0, USA          ,2016,4,2,20,"['drowning', 'in', 'despair', ',', 'hope', 'slipping', 'through', 'my', 'fingers', '.']","['drowning', 'despair', ',', 'hope', 'slipping', 'fingers', '.']","['drown', 'despair', ',', 'hope', 'slip', 'finger', '.']","['drown', 'despair', 'hope', 'slip', 'finger']"
" Grief weighs heavy, tears a constant companion.    ",Negative, TearfulSoul      , Facebook , #Grief #Tears                                ,12.0,25.0, Canada        ,2015,10,18,15,"['grief', 'weighs', 'heavy', ',', 'tears', 'a', 'constant', 'companion', '.']","['grief', 'weighs', 'heavy', ',', 'tears', 'constant', 'companion', '.']","['grief', 'weighs', 'heavy', ',', 'tear', 'constant', 'companion', '.']","['grief', 'weighs', 'heavy', 'tear', 'constant', 'companion']"
" Loneliness in a crowded room, a silent cry for connection.",Negative, IsolatedMind     , Twitter  , #Loneliness #SeekingConnection              ,15.0,30.0, UK            ,2019,7,12,18,"['loneliness', 'in', 'a', 'crowded', 'room', ',', 'a', 'silent', 'cry', 'for', 'connection', '.']","['loneliness', 'crowded', 'room', ',', 'silent', 'cry', 'connection', '.']","['loneliness', 'crowd', 'room', ',', 'silent', 'cry', 'connection', '.']","['loneliness', 'crowd', 'room', 'silent', 'cry', 'connection']"
" Jealousy gnaws at my confidence, a toxic emotion.  ",Negative, SelfDoubt        , Instagram , #Jealousy #Insecurity                       ,8.0,15.0, India         ,2018,6,3,16,"['jealousy', 'gnaws', 'at', 'my', 'confidence', ',', 'a', 'toxic', 'emotion', '.']","['jealousy', 'gnaws', 'confidence', ',', 'toxic', 'emotion', '.']","['jealousy', 'gnaws', 'confidence', ',', 'toxic', 'emotion', '.']","['jealousy', 'gnaws', 'confidence', 'toxic', 'emotion']"
" Resentment festers, poisoning relationships.       ",Negative, BrokenTrust      , Facebook , #Resentment #BrokenTrust                     ,10.0,20.0, Australia    ,2022,1,15,12,"['resentment', 'festers', ',', 'poisoning', 'relationships', '.']","['resentment', 'festers', ',', 'poisoning', 'relationships', '.']","['resentment', 'fester', ',', 'poison', 'relationship', '.']","['resentment', 'fester', 'poison', 'relationship']"
" Frustration boils over, a volcanic eruption of emotions.",Negative, ExplosiveMind    , Twitter  , #Frustration #EmotionalOutburst             ,12.0,25.0, USA          ,2017,4,10,14,"['frustration', 'boils', 'over', ',', 'a', 'volcanic', 'eruption', 'of', 'emotions', '.']","['frustration', 'boils', ',', 'volcanic', 'eruption', 'emotions', '.']","['frustration', 'boil', ',', 'volcanic', 'eruption', 'emotion', '.']","['frustration', 'boil', 'volcanic', 'eruption', 'emotion']"
" Boredom settles like dust, life feels mundane.     ",Negative, MundaneHeart     , Instagram , #Boredom #Monotony                          ,7.0,15.0, Canada        ,2016,11,28,19,"['boredom', 'settles', 'like', 'dust', ',', 'life', 'feels', 'mundane', '.']","['boredom', 'settles', 'like', 'dust', ',', 'life', 'feels', 'mundane', '.']","['boredom', 'settle', 'like', 'dust', ',', 'life', 'feel', 'mundane', '.']","['boredom', 'settle', 'like', 'dust', 'life', 'feel', 'mundane']"
" Anxiety grips my chest, a relentless grip on my thoughts.",Negative, RestlessMind     , Facebook , #Anxiety #Restlessness                      ,10.0,20.0, UK            ,2018,9,5,9,"['anxiety', 'grips', 'my', 'chest', ',', 'a', 'relentless', 'grip', 'on', 'my', 'thoughts', '.']","['anxiety', 'grips', 'chest', ',', 'relentless', 'grip', 'thoughts', '.']","['anxiety', 'grip', 'chest', ',', 'relentless', 'grip', 'thought', '.']","['anxiety', 'grip', 'chest', 'relentless', 'grip', 'thought']"
" Intimidation by the challenges ahead, fear takes hold.",Negative, FearfulJourney   , Twitter  , #Intimidation #FacingFear                   ,15.0,30.0, India         ,2021,10,22,18,"['intimidation', 'by', 'the', 'challenges', 'ahead', ',', 'fear', 'takes', 'hold', '.']","['intimidation', 'challenges', 'ahead', ',', 'fear', 'takes', 'hold', '.']","['intimidation', 'challenge', 'ahead', ',', 'fear', 'take', 'hold', '.']","['intimidation', 'challenge', 'ahead', 'fear', 'take', 'hold']"
" Helplessness engulfs me, drowning in a sea of problems.",Negative, OverwhelmedSoul  , Instagram , #Helplessness #Struggling                   ,8.0,15.0, Australia    ,2019,5,8,14,"['helplessness', 'engulfs', 'me', ',', 'drowning', 'in', 'a', 'sea', 'of', 'problems', '.']","['helplessness', 'engulfs', ',', 'drowning', 'sea', 'problems', '.']","['helplessness', 'engulfs', ',', 'drown', 'sea', 'problem', '.']","['helplessness', 'engulfed', 'drown', 'sea', 'problem']"
" Envy poisons my thoughts, coveting others' success.",Negative, GreenEyedMonster , Facebook , #Envy #Success                              ,10.0,20.0, Canada        ,2017,3,20,11,"['envy', 'poisons', 'my', 'thoughts', ',', 'coveting', 'others', ""'"", 'success', '.']","['envy', 'poisons', 'thoughts', ',', 'coveting', 'others', ""'"", 'success', '.']","['envy', 'poison', 'thought', ',', 'covet', 'others', ""'"", 'success', '.']","['envy', 'poison', 'thought', 'cover', 'others', 'success']"
 Regret for decisions that led to a painful present.,Negative, RegretfulMind    , Twitter  , #Regret #PastChoices                        ,12.0,25.0, USA          ,2018,12,15,16,"['regret', 'for', 'decisions', 'that', 'led', 'to', 'a', 'painful', 'present', '.']","['regret', 'decisions', 'led', 'painful', 'present', '.']","['regret', 'decision', 'lead', 'painful', 'present', '.']","['regret', 'decision', 'lead', 'painful', 'present']"
 Disgust at the corruption that stains society.     ,Negative, CorruptedHeart   , Instagram , #Disgust #Corruption                        ,7.0,15.0, UK            ,2016,7,1,9,"['disgust', 'at', 'the', 'corruption', 'that', 'stains', 'society', '.']","['disgust', 'corruption', 'stains', 'society', '.']","['disgust', 'corruption', 'stain', 'society', '.']","['disgust', 'corruption', 'stain', 'society']"
" Sinking in despair, each day darker than the last. ",Negative, DrowningSoul     , Facebook , #Despair #DarkDays                          ,10.0,20.0, India         ,2020,8,20,20,"['sinking', 'in', 'despair', ',', 'each', 'day', 'darker', 'than', 'the', 'last', '.']","['sinking', 'despair', ',', 'day', 'darker', 'last', '.']","['sinking', 'despair', ',', 'day', 'darker', 'last', '.']","['sinking', 'despair', 'day', 'darker', 'last']"
" Grief overwhelms, a storm of emotions within.      ",Negative, StormyHeart      , Twitter  , #Grief #EmotionalStorm                      ,12.0,25.0, Canada        ,2021,2,25,15,"['grief', 'overwhelms', ',', 'a', 'storm', 'of', 'emotions', 'within', '.']","['grief', 'overwhelms', ',', 'storm', 'emotions', 'within', '.']","['grief', 'overwhelms', ',', 'storm', 'emotion', 'within', '.']","['grief', 'overwhelm', 'storm', 'emotion', 'within']"
" Loneliness echoes in empty spaces, yearning for connection.",Negative, EchoingSoul     , Instagram , #Loneliness #YearningForConnection         ,15.0,30.0, Australia     ,2019,9,12,18,"['loneliness', 'echoes', 'in', 'empty', 'spaces', ',', 'yearning', 'for', 'connection', '.']","['loneliness', 'echoes', 'empty', 'spaces', ',', 'yearning', 'connection', '.']","['loneliness', 'echo', 'empty', 'space', ',', 'yearn', 'connection', '.']","['loneliness', 'echo', 'empty', 'space', 'years', 'connection']"
" Jealousy poisons my thoughts, resentment brewing within.",Negative, PoisonedMind    , Facebook , #Jealousy #Resentment                       ,8.0,15.0, USA           ,2018,8,5,16,"['jealousy', 'poisons', 'my', 'thoughts', ',', 'resentment', 'brewing', 'within', '.']","['jealousy', 'poisons', 'thoughts', ',', 'resentment', 'brewing', 'within', '.']","['jealousy', 'poison', 'thought', ',', 'resentment', 'brewing', 'within', '.']","['jealousy', 'poison', 'thought', 'resentment', 'brewing', 'within']"
" Resentment festers, a wound that refuses to heal.  ",Negative, UnforgivingSoul  , Twitter  , #Resentment #Unforgiving                    ,10.0,20.0, India         ,2017,1,12,12,"['resentment', 'festers', ',', 'a', 'wound', 'that', 'refuses', 'to', 'heal', '.']","['resentment', 'festers', ',', 'wound', 'refuses', 'heal', '.']","['resentment', 'fester', ',', 'wound', 'refuse', 'heal', '.']","['resentment', 'fester', 'wound', 'refuse', 'heal']"
" Frustration escalates, a thunderstorm of emotions. ",Negative, ThunderingMind   , Instagram , #Frustration #EmotionalOutburst            ,12.0,25.0, UK            ,2022,4,5,14,"['frustration', 'escalates', ',', 'a', 'thunderstorm', 'of', 'emotions', '.']","['frustration', 'escalates', ',', 'thunderstorm', 'emotions', '.']","['frustration', 'escalates', ',', 'thunderstorm', 'emotion', '.']","['frustration', 'escalates', 'thunderstorm', 'emotion']"
" Boredom lingers, a stagnant pool of indifference.  ",Negative, StagnantHeart    , Facebook , #Boredom #Stagnation                        ,7.0,15.0, Canada        ,2021,10,2,19,"['boredom', 'lingers', ',', 'a', 'stagnant', 'pool', 'of', 'indifference', '.']","['boredom', 'lingers', ',', 'stagnant', 'pool', 'indifference', '.']","['boredom', 'lingers', ',', 'stagnant', 'pool', 'indifference', '.']","['boredom', 'fingers', 'stagnant', 'pool', 'indifference']"
" Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge. ",Neutral, InquisitiveMind   , Twitter  , #Curiosity #Learning                        ,15.0,30.0, USA          ,2023,4,15,10,"['embarking', 'on', 'a', 'journey', 'of', 'discovery', ',', 'fueled', 'by', 'curiosity', 'and', 'a', 'thirst', 'for', 'knowledge', '.']","['embarking', 'journey', 'discovery', ',', 'fueled', 'curiosity', 'thirst', 'knowledge', '.']","['embark', 'journey', 'discovery', ',', 'fuel', 'curiosity', 'thirst', 'knowledge', '.']","['embark', 'journey', 'discovery', 'fuel', 'curiosity', 'thirst', 'knowledge']"
" Lost in the vast sea of information, an indifferent wave in the digital ocean. ",Negative, ApatheticObserver , Instagram , #Indifference #DigitalOverload              ,7.0,15.0, Canada          ,2022,11,28,17,"['lost', 'in', 'the', 'vast', 'sea', 'of', 'information', ',', 'an', 'indifferent', 'wave', 'in', 'the', 'digital', 'ocean', '.']","['lost', 'vast', 'sea', 'information', ',', 'indifferent', 'wave', 'digital', 'ocean', '.']","['lose', 'vast', 'sea', 'information', ',', 'indifferent', 'wave', 'digital', 'ocean', '.']","['lose', 'vast', 'sea', 'information', 'indifferent', 'wave', 'digital', 'ocean']"
" The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos. ",Negative, SeekingClarity    , Facebook , #Confusion #LifePuzzle                     ,10.0,20.0, UK           ,2020,4,2,9,"['the', 'complex', 'puzzle', 'of', 'life', 'leaves', 'me', 'in', 'a', 'state', 'of', 'perpetual', 'confusion', ',', 'seeking', 'answers', 'in', 'the', 'chaos', '.']","['complex', 'puzzle', 'life', 'leaves', 'state', 'perpetual', 'confusion', ',', 'seeking', 'answers', 'chaos', '.']","['complex', 'puzzle', 'life', 'leaf', 'state', 'perpetual', 'confusion', ',', 'seek', 'answer', 'chaos', '.']","['complex', 'puzzle', 'life', 'leaf', 'state', 'perpetual', 'confusion', 'seek', 'answer', 'chaos']"
" A numbness settles over me, a shield against the overwhelming emotions life throws my way. ",Negative, EmotionallyDistant , Twitter  , #Numbness #EmotionalShield                 ,8.0,15.0, India        ,2021,8,10,14,"['a', 'numbness', 'settles', 'over', 'me', ',', 'a', 'shield', 'against', 'the', 'overwhelming', 'emotions', 'life', 'throws', 'my', 'way', '.']","['numbness', 'settles', ',', 'shield', 'overwhelming', 'emotions', 'life', 'throws', 'way', '.']","['numbness', 'settle', ',', 'shield', 'overwhelm', 'emotion', 'life', 'throw', 'way', '.']","['numbness', 'settle', 'shield', 'overwhelm', 'emotion', 'life', 'throw', 'way']"
" Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. ",Negative, SunsetDreamer     , Instagram , #Melancholy #SunsetMoments                 ,12.0,25.0, Australia     ,2019,6,18,20,"['gazing', 'at', 'the', 'sunset', ',', 'a', 'melancholic', 'longing', 'for', 'moments', 'that', 'slip', 'through', 'the', 'fingers', 'of', 'time', '.']","['gazing', 'sunset', ',', 'melancholic', 'longing', 'moments', 'slip', 'fingers', 'time', '.']","['gaze', 'sunset', ',', 'melancholic', 'longing', 'moment', 'slip', 'finger', 'time', '.']","['gaze', 'sunset', 'melancholia', 'longing', 'moment', 'slip', 'finger', 'time']"
" Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony. ",Neutral, MemoryLaneTraveler , Facebook , #Nostalgia #MemoryLane                     ,10.0,20.0, USA          ,2018,2,5,15,"['revisiting', 'old', 'photographs', ',', 'caught', 'in', 'the', 'embrace', 'of', 'nostalgia', ""'s"", 'bittersweet', 'symphony', '.']","['revisiting', 'old', 'photographs', ',', 'caught', 'embrace', 'nostalgia', ""'s"", 'bittersweet', 'symphony', '.']","['revisit', 'old', 'photograph', ',', 'caught', 'embrace', 'nostalgia', ""'s"", 'bittersweet', 'symphony', '.']","['visit', 'old', 'photograph', 'caught', 'embrace', 'nostalgia', ""'s"", 'bittersweet', 'symphony']"
" Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty. ",Neutral, MixedFeelings     , Twitter  , #Ambivalence #UncertainChoices             ,12.0,25.0, Canada        ,2022,5,30,11,"['torn', 'between', 'conflicting', 'emotions', ',', 'an', 'ambivalence', 'that', 'paints', 'my', 'decisions', 'in', 'shades', 'of', 'uncertainty', '.']","['torn', 'conflicting', 'emotions', ',', 'ambivalence', 'paints', 'decisions', 'shades', 'uncertainty', '.']","['torn', 'conflict', 'emotion', ',', 'ambivalence', 'paint', 'decision', 'shade', 'uncertainty', '.']","['torn', 'conflict', 'emotion', 'ambivalence', 'paint', 'decision', 'shade', 'uncertainty']"
" Embracing the ebb and flow of life, finding acceptance in the dance of existence. ",Positive, ZenLifestyle      , Instagram , #Acceptance #LifeJourney                   ,15.0,30.0, UK           ,2023,1,10,16,"['embracing', 'the', 'ebb', 'and', 'flow', 'of', 'life', ',', 'finding', 'acceptance', 'in', 'the', 'dance', 'of', 'existence', '.']","['embracing', 'ebb', 'flow', 'life', ',', 'finding', 'acceptance', 'dance', 'existence', '.']","['embrace', 'ebb', 'flow', 'life', ',', 'find', 'acceptance', 'dance', 'existence', '.']","['embrace', 'ebb', 'flow', 'life', 'find', 'acceptance', 'dance', 'existence']"
" Facing challenges head-on, a determination that fuels the fire within to achieve the impossible. ",Positive, ResilientSpirit   , Facebook , #Determination #AchieveTheImpossible       ,10.0,20.0, India        ,2020,9,18,13,"['facing', 'challenges', 'head-on', ',', 'a', 'determination', 'that', 'fuels', 'the', 'fire', 'within', 'to', 'achieve', 'the', 'impossible', '.']","['facing', 'challenges', 'head-on', ',', 'determination', 'fuels', 'fire', 'within', 'achieve', 'impossible', '.']","['face', 'challenge', 'head-on', ',', 'determination', 'fuel', 'fire', 'within', 'achieve', 'impossible', '.']","['face', 'challenge', 'head-on', 'determination', 'fuel', 'fire', 'within', 'achieve', 'impossible']"
" Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world. ",Neutral, NatureSoul        , Twitter  , #Serenity #NatureRetreat                   ,12.0,25.0, Australia    ,2021,7,3,19,"['serenity', 'found', 'in', 'the', 'stillness', 'of', 'nature', ',', 'a', 'tranquil', 'retreat', 'from', 'the', 'chaos', 'of', 'the', 'modern', 'world', '.']","['serenity', 'found', 'stillness', 'nature', ',', 'tranquil', 'retreat', 'chaos', 'modern', 'world', '.']","['serenity', 'found', 'stillness', 'nature', ',', 'tranquil', 'retreat', 'chaos', 'modern', 'world', '.']","['serenity', 'found', 'stillness', 'nature', 'tranquil', 'retreat', 'chaos', 'modern', 'world']"
" Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom. ",Neutral, EternalLearner    , Instagram , #Curiosity #KnowledgeQuest                ,20.0,40.0, USA          ,2022,10,8,8,"['curiosity', 'leading', 'me', 'down', 'the', 'rabbit', 'hole', 'of', 'knowledge', ',', 'a', 'perpetual', 'student', 'in', 'life', ""'s"", 'classroom', '.']","['curiosity', 'leading', 'rabbit', 'hole', 'knowledge', ',', 'perpetual', 'student', 'life', ""'s"", 'classroom', '.']","['curiosity', 'lead', 'rabbit', 'hole', 'knowledge', ',', 'perpetual', 'student', 'life', ""'s"", 'classroom', '.']","['curiosity', 'lead', 'rabbit', 'hole', 'knowledge', 'perpetual', 'student', 'life', ""'s"", 'classroom']"
" Floating through the day with an air of indifference, detached from the mundane happenings around. ",Negative, AloofObserver     , Facebook , #Indifference #FloatingThroughLife        ,10.0,20.0, Canada        ,2023,3,22,16,"['floating', 'through', 'the', 'day', 'with', 'an', 'air', 'of', 'indifference', ',', 'detached', 'from', 'the', 'mundane', 'happenings', 'around', '.']","['floating', 'day', 'air', 'indifference', ',', 'detached', 'mundane', 'happenings', 'around', '.']","['float', 'day', 'air', 'indifference', ',', 'detach', 'mundane', 'happening', 'around', '.']","['float', 'day', 'air', 'indifference', 'detach', 'mundane', 'happening', 'around']"
" Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas. ",Negative, ThoughtExplorer   , Twitter  , #Confusion #ThoughtLabyrinth              ,15.0,30.0, UK            ,2021,5,15,11,"['entangled', 'in', 'the', 'web', 'of', 'thoughts', ',', 'confusion', 'reigning', 'as', 'i', 'navigate', 'the', 'labyrinth', 'of', 'ideas', '.']","['entangled', 'web', 'thoughts', ',', 'confusion', 'reigning', 'navigate', 'labyrinth', 'ideas', '.']","['entangle', 'web', 'thought', ',', 'confusion', 'reign', 'navigate', 'labyrinth', 'idea', '.']","['entangle', 'web', 'thought', 'confusion', 'reign', 'navigable', 'labyrinth', 'idea']"
" Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil. ",Negative, StoicSoul         , Instagram , #Numbness #StoicFacade                    ,8.0,15.0, Australia     ,2019,12,28,14,"['numb', 'to', 'the', 'chaos', ',', 'emotions', 'locked', 'away', ',', 'a', 'stoic', 'facade', 'concealing', 'the', 'inner', 'turmoil', '.']","['numb', 'chaos', ',', 'emotions', 'locked', 'away', ',', 'stoic', 'facade', 'concealing', 'inner', 'turmoil', '.']","['numb', 'chaos', ',', 'emotion', 'lock', 'away', ',', 'stoic', 'facade', 'conceal', 'inner', 'turmoil', '.']","['numb', 'chaos', 'emotion', 'lock', 'away', 'stood', 'facade', 'conceal', 'inner', 'turmoil']"
" Melancholy whispers in the breeze, a silent conversation with the echoes of forgotten dreams. ",Negative, DreamerInSilence  , Facebook , #Melancholy #WhispersInTheBreeze         ,12.0,25.0, India         ,2020,3,1,19,"['melancholy', 'whispers', 'in', 'the', 'breeze', ',', 'a', 'silent', 'conversation', 'with', 'the', 'echoes', 'of', 'forgotten', 'dreams', '.']","['melancholy', 'whispers', 'breeze', ',', 'silent', 'conversation', 'echoes', 'forgotten', 'dreams', '.']","['melancholy', 'whisper', 'breeze', ',', 'silent', 'conversation', 'echo', 'forgotten', 'dream', '.']","['melancholy', 'whisper', 'breeze', 'silent', 'conversation', 'echo', 'forgotten', 'dream']"
" Stumbling upon an old journal, nostalgia flooding in waves, carrying me to moments long gone. ",Neutral, JournalKeeper     , Twitter  , #Nostalgia #JournalMoments               ,10.0,20.0, Canada        ,2018,7,10,15,"['stumbling', 'upon', 'an', 'old', 'journal', ',', 'nostalgia', 'flooding', 'in', 'waves', ',', 'carrying', 'me', 'to', 'moments', 'long', 'gone', '.']","['stumbling', 'upon', 'old', 'journal', ',', 'nostalgia', 'flooding', 'waves', ',', 'carrying', 'moments', 'long', 'gone', '.']","['stumble', 'upon', 'old', 'journal', ',', 'nostalgia', 'flood', 'wave', ',', 'carry', 'moment', 'long', 'go', '.']","['stumble', 'upon', 'old', 'journal', 'nostalgia', 'flood', 'wave', 'carry', 'moment', 'long', 'go']"
" A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence. ",Neutral, ThreadWeaver      , Instagram , #Ambivalence #ConflictingFeelings        ,12.0,25.0, UK            ,2022,1,5,10,"['a', 'tapestry', 'of', 'conflicting', 'feelings', ',', 'weaving', 'through', 'uncertainty', ',', 'caught', 'in', 'the', 'threads', 'of', 'ambivalence', '.']","['tapestry', 'conflicting', 'feelings', ',', 'weaving', 'uncertainty', ',', 'caught', 'threads', 'ambivalence', '.']","['tapestry', 'conflict', 'feeling', ',', 'weave', 'uncertainty', ',', 'caught', 'thread', 'ambivalence', '.']","['tapestry', 'conflict', 'feeling', 'weave', 'uncertainty', 'caught', 'thread', 'ambivalence']"
" Embracing the flaws, finding acceptance in imperfection, a journey towards self-love. ",Positive, SelfLoveAdvocate  , Facebook , #Acceptance #SelfLoveJourney              ,15.0,30.0, Australia    ,2021,8,20,16,"['embracing', 'the', 'flaws', ',', 'finding', 'acceptance', 'in', 'imperfection', ',', 'a', 'journey', 'towards', 'self-love', '.']","['embracing', 'flaws', ',', 'finding', 'acceptance', 'imperfection', ',', 'journey', 'towards', 'self-love', '.']","['embrace', 'flaw', ',', 'find', 'acceptance', 'imperfection', ',', 'journey', 'towards', 'self-love', '.']","['embrace', 'flaw', 'find', 'acceptance', 'perfection', 'journey', 'towards', 'self-love']"
" Determination burning like a wildfire, overcoming obstacles, turning dreams into reality. ",Positive, DreamChaser       , Twitter  , #Determination #DreamsIntoReality        ,18.0,35.0, USA          ,2019,11,3,13,"['determination', 'burning', 'like', 'a', 'wildfire', ',', 'overcoming', 'obstacles', ',', 'turning', 'dreams', 'into', 'reality', '.']","['determination', 'burning', 'like', 'wildfire', ',', 'overcoming', 'obstacles', ',', 'turning', 'dreams', 'reality', '.']","['determination', 'burning', 'like', 'wildfire', ',', 'overcome', 'obstacle', ',', 'turn', 'dream', 'reality', '.']","['determination', 'burning', 'like', 'wildlife', 'overcome', 'obstacle', 'turn', 'dream', 'reality']"
" Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace. ",Neutral, OceanSoul         , Instagram , #Serenity #OceanRetreat                   ,25.0,50.0, Canada        ,2020,4,12,19,"['tranquil', 'moments', 'by', 'the', 'ocean', ',', 'serenity', 'washing', 'over', ',', 'a', 'peaceful', 'retreat', 'within', 'the', 'waves', ""'"", 'embrace', '.']","['tranquil', 'moments', 'ocean', ',', 'serenity', 'washing', ',', 'peaceful', 'retreat', 'within', 'waves', ""'"", 'embrace', '.']","['tranquil', 'moment', 'ocean', ',', 'serenity', 'wash', ',', 'peaceful', 'retreat', 'within', 'wave', ""'"", 'embrace', '.']","['tranquil', 'moment', 'ocean', 'serenity', 'wash', 'peaceful', 'retreat', 'within', 'wave', 'embrace']"
" Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge. ",Neutral, HorizonExplorer   , Facebook , #Curiosity #NewHorizons                  ,22.0,45.0, India         ,2022,4,15,8,"['exploring', 'new', 'horizons', 'with', 'the', 'spark', 'of', 'curiosity', ',', 'an', 'adventurer', 'in', 'the', 'vast', 'landscape', 'of', 'knowledge', '.']","['exploring', 'new', 'horizons', 'spark', 'curiosity', ',', 'adventurer', 'vast', 'landscape', 'knowledge', '.']","['explore', 'new', 'horizon', 'spark', 'curiosity', ',', 'adventurer', 'vast', 'landscape', 'knowledge', '.']","['explore', 'new', 'horizon', 'spark', 'curiosity', 'adventurer', 'vast', 'landscape', 'knowledge']"
" Drifting through the day with a nonchalant demeanor, embracing the art of indifference. ",Negative, NonchalantSpirit  , Twitter  , #Indifference #DriftingThroughLife       ,9.0,18.0, UK            ,2023,2,10,17,"['drifting', 'through', 'the', 'day', 'with', 'a', 'nonchalant', 'demeanor', ',', 'embracing', 'the', 'art', 'of', 'indifference', '.']","['drifting', 'day', 'nonchalant', 'demeanor', ',', 'embracing', 'art', 'indifference', '.']","['drift', 'day', 'nonchalant', 'demeanor', ',', 'embrace', 'art', 'indifference', '.']","['drift', 'day', 'nonchalantly', 'demeanour', 'embrace', 'art', 'indifference']"
